Country,Year,GDP,GDP_growth,Population_growth,Population_total ,Unemployment_total,Lifeexpectancy,Netmigrationrate,Fertilityrate,naturalincrease
Austria,2020,496544223813.72,1.837093677,0.2403943,8363404,4.820000172,81.5036,2.283,1.4397,-0.785
Austria,2019,515713331248.95,2.922797284,0.337080842,8391643,4.559999943,81.9077,4.64,1.4646,0.139
Austria,2018,503556884412.53,0.680445577,0.455937472,8429991,4.869999886,81.6862,4.013,1.4768,0.126
Austria,2017,476590426691.82,0.025504712,0.589387255,8479823,5.329999924,81.6391,5.194,1.5166,0.448
Austria,2016,460282766423.27,0.661272849,0.781541633,8546356,5.619999886,81.5925,7.615,1.5256,0.716
Austria,2015,430975998137.24,1.014501586,1.120992502,8642699,5.71999979,81.1594,13.409,1.491,0.058
Austria,2014,417059741085.66,1.989437162,1.081396299,8736668,6.010000229,81.3903,8.727,1.4634,0.332
Austria,2013,406370494341.23,2.258572433,0.694621104,8797566,5.5,81.0783,6.684,1.438,-0.063
Austria,2012,391635006784.26,2.501595119,0.487071925,8840521,4.849999905,80.841,5.339,1.4389,-0.125
Austria,2011,373031463577.16,1.49121085,0.444673639,8879920,4.489999771,80.8285,3.781,1.4317,0.163
Austria,2010,351341906220.69,-6.734514076,0.415176732,8916864,5.360000134,80.4643,2.728,1.4352,0.111
Belgium,2020,612655349801.14,2.864292708,0.913639392,10895586,8.289999962,80.7884,4.632,1.5652,-1.088
Belgium,2019,623603330829.74,1.694513899,1.301002902,11038264,7.139999866,81.8311,4.737,1.5871,0.611
Belgium,2018,600322935463.80,0.739217283,0.620163579,11106932,7.539999962,81.4787,4.854,1.6215,0.623
Belgium,2017,573788797293.57,0.459242193,0.471340144,11159407,8.430000305,81.3618,4.953,1.6489,0.829
Belgium,2016,550677647305.86,1.578533143,0.443929288,11209057,8.520000458,81.2661,5.03,1.6835,1.138
Belgium,2015,520878052195.13,2.041459009,0.579446242,11274196,8.479999542,80.8898,5.081,1.6986,0.931
Belgium,2014,503619406808.68,1.266686409,0.506300002,11331422,7.829999924,81.0811,5.122,1.7398,1.671
Belgium,2013,487343797679.39,1.619580278,0.385228018,11375158,7.090000153,80.468,5.125,1.7571,1.304
Belgium,2012,469720618339.77,1.843899686,0.455184695,11427054,5.949999809,80.2607,5.11,1.7968,1.527
Belgium,2011,451932718764.39,2.111531644,0.540461327,11488980,5.360000134,80.3649,5.08,1.8168,2.037
Belgium,2010,434081107185.04,-5.680733655,0.479838283,11544241,5.550000191,80.033,5.033,1.8577,2.14
Estonia,2020,50048531249.42,2.444265118,-0.228057969,1331475,16.70999908,78.3431,2.256,1.677,-1.715
Estonia,2019,50223187686.65,7.263084581,-0.303582824,1327439,12.32999992,78.6693,4.085,1.6727,-0.994
Estonia,2018,47920817734.15,3.228200494,-0.357944411,1322696,10.02000046,78.1395,5.482,1.6674,-1.173
Estonia,2017,44556473262.69,1.458428636,-0.355891803,1317997,8.630000114,77.976,4.053,1.5969,-1.383
Estonia,2016,41201006348.41,3.011366587,-0.262256175,1314545,7.349999905,77.8201,0.885,1.6026,-1.082
Estonia,2015,38378217195.58,1.853020046,0.06555253,1315407,6.190000057,77.6563,3.282,1.5771,-1.15
Estonia,2014,38050116722.66,3.155564814,0.029112226,1315790,6.760000229,77.1406,-0.427,1.5398,-1.509
Estonia,2013,36198153224.20,5.792044675,0.121070631,1317384,5.760000229,77.1272,-2.009,1.5251,-1.296
Estonia,2012,34384867089.01,4.133819798,0.348039138,1321977,5.369999886,76.5454,-2.753,1.5615,-1.053
Estonia,2011,32598232994.53,4.096342644,0.368313696,1326855,4.449999809,76.4681,-2.956,1.6163,-0.395
Estonia,2010,28785763244.07,-2.951069313,0.197565581,1329479,6.800000191,75.7485,-2.819,1.7135,0.003
Finland,2020,281659220687.00,3.185958654,0.457494535,5363352,8.390000343,81.8657,3.167,1.3698,-1.624
Finland,2019,277855715485.53,2.547664838,0.463558707,5388272,7.78000021,81.8706,2.822,1.3566,-1.488
Finland,2018,273463067469.72,-1.397545728,0.475809487,5413971,7.690000057,81.6266,2.114,1.4084,-1.244
Finland,2017,262026475788.42,-0.901696316,0.460723773,5438972,8.18999958,81.4976,2.419,1.4882,-0.629
Finland,2016,246928408039.55,-0.364908157,0.413560208,5461512,8.659999847,81.2915,3.137,1.5666,-0.223
Finland,2015,232867491858.97,0.543659212,0.329383886,5479531,9.380000114,81.4178,2.272,1.6477,0.567
Finland,2014,228058553146.46,2.811457767,0.287421402,5495303,8.819999695,81.0125,2.925,1.7076,0.838
Finland,2013,225680035610.26,3.19240963,0.234670532,5508214,8.640000343,80.8831,3.32,1.7477,1.215
Finland,2012,221285752810.97,1.141947509,0.132641041,5515525,7.360000134,80.5008,3.26,1.8027,1.44
Finland,2011,220471055643.89,1.220754143,0.11019169,5521606,6.690000057,80.3915,3.107,1.8284,1.72
Finland,2010,208937273175.52,-2.299256085,0.143641197,5529543,7.760000229,80.0117,2.624,1.8638,1.825
France,2020,3166261521877.82,1.949437623,0.494040603,65027505,8.869999886,82.2104,0.284,1.7907,0.407
France,2019,3300063763854.41,2.192700633,0.483675544,65342789,8.81000042,82.7315,0.27,1.83,1.532
France,2018,3125379876905.32,0.313134751,0.483998961,65659814,9.399999619,82.5909,0.224,1.8428,1.766
France,2017,2983008898740.32,0.576326675,0.514773829,65998685,9.920000076,82.4732,0.205,1.861,1.97
France,2016,2864106383742.44,0.956183052,0.473706908,66312067,10.28999996,82.4372,0.23,1.8911,2.427
France,2015,2718496736713.76,1.112912341,0.35556924,66548272,10.35000038,82.1857,0.295,1.9268,2.67
France,2014,2662033396692.53,1.095464404,0.263868789,66724104,10.05000019,82.4761,0.418,1.9747,3.568
France,2013,2608522466158.15,2.291419994,0.290202116,66918020,9.409999847,82.0159,0.577,1.9724,3.421
France,2012,2474003939353.38,1.865066071,0.274451849,67101930,9.020000458,81.774,0.778,1.9897,3.573
France,2011,2446475413051.00,1.842971814,0.218824149,67248926,8.409999847,81.813,1.039,1.9945,4.028
